"","appid","name","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price"
"1593",227100,"Sniper Elite: Nazi Zombie Army","2013/2/28",1,"Rebellion","Rebellion","windows",0,"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards","Action","Zombies;Action;Co-op",26,3204,446,365,450,"200000-500000",10.99
"1596",227220,"Sang-Froid - Tales of Werewolves","2013/4/5",1,"Artifice Studio","Artifice Studio","windows",0,"Single-player;Steam Achievements;Steam Trading Cards","Action;Adventure;Indie;RPG;Strategy","Strategy;Tower Defense;Action",33,1480,209,203,305,"200000-500000",0
"1597",227300,"Euro Truck Simulator 2","2012/10/12",1,"SCS Software","SCS Software","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor","Indie;Simulation","Simulation;Driving;Open World",67,176769,5825,4942,1413,"5000000-10000000",14.99
"1599",227560,"Scourge: Outbreak","2014/4/2",1,"Tragnarion Studios","Bitbox S.L.","windows;mac",16,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Action;Indie","Action;Third-Person Shooter;Indie",43,321,166,289,381,"100000-200000",5.59
"1600",227580,"10,000,000","2013/1/15",1,"EightyEightGames","EightyEightGames","windows;mac;linux",0,"Single-player;Steam Achievements;Steam Trading Cards","Action;Casual;Indie;RPG","Match 3;Indie;Puzzle",14,1573,187,333,414,"100000-200000",3.99
"1603",227780,"Serious Sam Classics: Revolution","2014/4/30",1,"Croteam;Alligator Pit","Devolver Digital","windows",0,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor","Action;Indie;Early Access","Early Access;Action;FPS",39,1339,165,27,34,"100000-200000",7.99
"1608",227940,"Heroes & Generals","2016/10/18",1,"RETO MOTO","RETO MOTO","windows",0,"Multi-player;Online Multi-Player;MMO;Online Co-op;In-App Purchases","Action;Free to Play;Indie;Massively Multiplayer","Free to Play;World War II;Multiplayer",0,65856,34416,1752,76,"10000000-20000000",0
"1609",228200,"Company of Heroes","2006/9/11",1,"Relic Entertainment","SEGA","windows",0,"Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud","Violent;Action;Strategy","Strategy;World War II;RTS",0,2526,287,1475,465,"500000-1000000",0
"1610",228260,"Fallen Enchantress: Legendary Heroes","2013/5/22",1,"Stardock Entertainment","Stardock Entertainment","windows",0,"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud","Indie;RPG;Strategy","Strategy;Fantasy;Turn-Based Strategy",54,1265,495,1610,2874,"200000-500000",19.49
"1611",228280,"Baldur's Gate: Enhanced Edition","2013/1/16",1,"Beamdog","Beamdog","windows;mac;linux",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud","RPG;Strategy","RPG;Fantasy;Classic",129,4148,688,569,703,"500000-1000000",14.99
